"Artists","Name","Rank","Date","Genre","Writing.Credits","Songwriter","word"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yuh"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","god"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","'em"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","tennis"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","chains"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","real"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","blingy"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bling"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","draco"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","chicken"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","head"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","chingy"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","chingy"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","walk"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","neiman"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","marcus"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","spend"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","light"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","fifty"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","fifty"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","proceed"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","caution"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","shooters"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bad"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bitch"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","cute"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","nice"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","titties"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","saint"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","laurent"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","jacket"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","yeah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bitch"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","careful"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","dumpin"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","ashes"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bitch"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","sucker"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","cuffin"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","action"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","nah"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","skreets"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","raised"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bastard"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","wild"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","bought"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","'rari"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","faster"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","skrrr"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","niggas"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","tryna"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","copy"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","playin"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","catch"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","pull"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","ghost"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","casper"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","smoking"
"21 Savage","Bank Account",48,"7-Jul-17"," Memes , Epic Records , Trap , Rap  ","Metro Boomin & 21 Savage","True","gas"
